"","series","episode","baker","technical","result","signature_bake","show_stopper","last_name","baker_age","baker_occupation","hometown"
"444",5,4,"Diana",9,"IN","Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"445",5,4,"Kate",7,"IN","Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska","Henry",41,"Furniture Restorer","Brighton, East Sussex"
"446",5,4,"Luis",2,"IN","Pears in Puddings","Bakewell Alaska","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"447",5,4,"Martha",1,"IN","Peanut Butter Chocolate Fondants","Key Lime Baked Alaska","Collison",17,"Student","Ascot, Berkshire"
"448",5,4,"Nancy",4,"IN","Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"449",5,4,"Norman",8,"IN","Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise","Calder",66,"Retired Naval Officer","Portknockie, Moray"
"450",5,4,"Iain",6,"OUT","Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","Watters",31,"Construction Engineer","London/Belfast"
"451",5,4,"Richard",5,"STAR BAKER","Black Forest Chocolate Fondants","Tiramisu Baked Alaska","Burr",38,"Builder","Mill Hill, London"
"452",5,4,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"453",5,4,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"454",5,4,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"455",5,5,"Chetna",2,"IN","Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies","Makan",35,"Fashion Designer","Broadstairs, Kent"
"456",5,5,"Luis",6,"IN","Tropical Manchester Tart","Four Fruity Seasons Tower","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"457",5,5,"Martha",1,"IN","Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie","Collison",17,"Student","Ascot, Berkshire"
"458",5,5,"Nancy",4,"IN","Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"459",5,5,"Richard",7,"IN","Fig and Orange Tart","Three Course Autumn Pie Feast","Burr",38,"Builder","Mill Hill, London"
"460",5,5,"Norman",5,"OUT","Tarte au Citron","Pieful Tower","Calder",66,"Retired Naval Officer","Portknockie, Moray"
"461",5,5,"Kate",3,"STAR BAKER","Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies","Henry",41,"Furniture Restorer","Brighton, East Sussex"
"462",5,5,"Diana",NA,"WD",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"463",5,5,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"464",5,5,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"465",5,5,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"466",5,5,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"467",5,6,"Diana",NA,"IN",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"468",5,6,"Kate",6,"IN","Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes","Henry",41,"Furniture Restorer","Brighton, East Sussex"
"469",5,6,"Luis",3,"IN","Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"470",5,6,"Martha",4,"IN","Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte","Collison",17,"Student","Ascot, Berkshire"
"471",5,6,"Nancy",1,"IN","Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"472",5,6,"Richard",5,"IN","Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte","Burr",38,"Builder","Mill Hill, London"
"473",5,6,"Chetna",2,"STAR BAKER","Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","Makan",35,"Fashion Designer","Broadstairs, Kent"
"474",5,6,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"475",5,6,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"476",5,6,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"477",5,6,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"478",5,6,"Norman",NA,NA,NA,NA,"Calder",66,"Retired Naval Officer","Portknockie, Moray"
"479",5,7,"Chetna",6,"IN","Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs","Makan",35,"Fashion Designer","Broadstairs, Kent"
"480",5,7,"Diana",NA,"IN",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"481",5,7,"Luis",5,"IN","Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"482",5,7,"Martha",3,"IN","Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs","Collison",17,"Student","Ascot, Berkshire"
"483",5,7,"Nancy",2,"IN","Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"484",5,7,"Kate",4,"OUT","Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs","Henry",41,"Furniture Restorer","Brighton, East Sussex"
"485",5,7,"Richard",1,"STAR BAKER","Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","Burr",38,"Builder","Mill Hill, London"
"486",5,7,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"487",5,7,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"488",5,7,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"489",5,7,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"490",5,7,"Norman",NA,NA,NA,NA,"Calder",66,"Retired Naval Officer","Portknockie, Moray"
"491",5,8,"Chetna",1,"IN","Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts","Makan",35,"Fashion Designer","Broadstairs, Kent"
"492",5,8,"Diana",NA,"IN",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"493",5,8,"Luis",2,"IN","Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"494",5,8,"Nancy",3,"IN","Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"495",5,8,"Martha",5,"OUT","Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","Collison",17,"Student","Ascot, Berkshire"
"496",5,8,"Richard",4,"STAR BAKER","Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts","Burr",38,"Builder","Mill Hill, London"
"497",5,8,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"498",5,8,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"499",5,8,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"500",5,8,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"501",5,8,"Kate",NA,NA,NA,NA,"Henry",41,"Furniture Restorer","Brighton, East Sussex"
"502",5,8,"Norman",NA,NA,NA,NA,"Calder",66,"Retired Naval Officer","Portknockie, Moray"
"503",5,9,"Diana",NA,"IN",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"504",5,9,"Luis",1,"IN","Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","Troyano",42,"Graphic Designer","Poynton, Cheshire"
"505",5,9,"Nancy",3,"IN","Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"506",5,9,"Chetna",4,"OUT","Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets","Makan",35,"Fashion Designer","Broadstairs, Kent"
"507",5,9,"Richard",2,"STAR BAKER","Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets","Burr",38,"Builder","Mill Hill, London"
"508",5,9,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"509",5,9,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"510",5,9,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"511",5,9,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"512",5,9,"Kate",NA,NA,NA,NA,"Henry",41,"Furniture Restorer","Brighton, East Sussex"
"513",5,9,"Martha",NA,NA,NA,NA,"Collison",17,"Student","Ascot, Berkshire"
"514",5,9,"Norman",NA,NA,NA,NA,"Calder",66,"Retired Naval Officer","Portknockie, Moray"
"515",5,10,"Diana",NA,"IN",NA,NA,"Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"516",5,10,"Luis",2,"Runner-up","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate","Troyano",42,"Graphic Designer","Poynton, Cheshire"
